id,X,input,output,out_i,rules
0,0,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-2,01002101010100010_010_000000
0,1,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-4,01002101010100010_010_000000
0,2,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,3,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,4,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,5,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,6,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,7,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,8,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,9,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,10,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,11,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,12,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,13,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
0,14,-2_-4_-6_-14,-2_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002101010100010_010_000000
1,0,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-2,01001000010100000_001_000000
1,1,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-4,01001000010100000_001_000000
1,2,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-6,01001000010100000_001_000000
1,3,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-8,01001000010100000_001_000000
1,4,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-10,01001000010100000_001_000000
1,5,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-12,01001000010100000_001_000000
1,6,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-14,01001000010100000_001_000000
1,7,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-16,01001000010100000_001_000000
1,8,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-18,01001000010100000_001_000000
1,9,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-20,01001000010100000_001_000000
1,10,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-22,01001000010100000_001_000000
1,11,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-24,01001000010100000_001_000000
1,12,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-26,01001000010100000_001_000000
1,13,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-28,01001000010100000_001_000000
1,14,-2_-4_-6_-14,-2_-4_-6_-8_-10_-12_-14_-16_-18_-20_-22_-24_-26_-28_-30,-30,01001000010100000_001_000000
2,0,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-2,01002000010100010_100_000000
2,1,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-4,01002000010100010_100_000000
2,2,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,3,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,4,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,5,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,6,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,7,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,8,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,9,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,10,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,11,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,12,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,13,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
2,14,-2_-4_-6_-14,-2_-4_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,01002000010100010_100_000000
3,0,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-2,01001100010100000_001_000000
3,1,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-4,01001100010100000_001_000000
3,2,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-6,01001100010100000_001_000000
3,3,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-8,01001100010100000_001_000000
3,4,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-10,01001100010100000_001_000000
3,5,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-12,01001100010100000_001_000000
3,6,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-14,01001100010100000_001_000000
3,7,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-16,01001100010100000_001_000000
3,8,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-18,01001100010100000_001_000000
3,9,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-20,01001100010100000_001_000000
3,10,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-22,01001100010100000_001_000000
3,11,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-24,01001100010100000_001_000000
3,12,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-26,01001100010100000_001_000000
3,13,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-28,01001100010100000_001_000000
3,14,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-30,01001100010100000_001_000000
4,0,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-2,00102100020000010_100_000000
4,1,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-4,00102100020000010_100_000000
4,2,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,3,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,4,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,5,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,6,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,7,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,8,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,9,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,10,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,11,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,12,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,13,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,14,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
5,0,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,1,00000000010001000_100_000000
5,1,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,2,00000000010001000_100_000000
5,2,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,3,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,4,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,5,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,6,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,7,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,8,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,9,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,10,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,11,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,12,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,13,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,14,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
6,0,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,1,00000100020001000_010_000000
6,1,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,2,00000100020001000_010_000000
6,2,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,3,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,4,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,5,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,6,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,7,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
